"","Age"
"1569",21
"1570",38
"1571",42
"1572",30
"1573",39
"1574",51
"1575",68
"1576",24
"1577",25
"1578",24
"1579",18
"1580",44
"1581",55
"1582",57
"1583",29
"1584",76
"1585",49
"1586",85
"1587",47
"1588",74
"1589",52
"1590",63
"1591",50
"1592",32
"1593",58
"1594",52
"1595",49
"1596",48
"1597",70
"1598",22
"1599",40
"1600",49
"1601",67
"1602",46
"1603",20
"1604",41
"1605",55
"1606",42
"1607",47
"1608",20
"1609",69
"1610",74
"1611",35
"1612",22
"1613",35
"1614",54
"1615",51
"1616",36
"1617",32
"1618",54
"1619",41
"1620",31
"1621",26
"1622",78
"1623",46
"1624",67
"1625",39
"1626",76
"1627",34
"1628",35
"1629",55
"1630",44
"1631",40
"1632",57
"1633",67
"1634",68
"1635",32
"1636",46
"1637",62
"1638",72
"1639",25
"1640",69
"1641",38
"1642",56
"1643",20
"1644",66
"1645",78
"1646",56
"1647",66
"1648",44
"1649",46
"1650",43
"1651",37
"1652",49
"1653",53
"1654",20
"1655",53
"1656",79
"1657",25
"1658",25
"1659",44
"1660",55
"1661",27
"1662",76
"1663",30
"1664",22
"1665",40
"1666",50
"1667",40
"1668",56
"1669",37
"1670",58
"1671",30
"1672",53
"1673",25
"1674",58
"1675",72
"1676",34
"1677",39
"1678",51
"1679",85
"1680",77
"1681",25
"1682",39
"1683",36
"1684",45
"1685",19
"1686",41
"1687",38
"1688",24
"1689",22
"1690",21
"1691",71
"1692",43
"1693",44
"1694",20
"1695",74
"1696",51
"1697",38
"1698",55
"1699",56
"1700",51
"1701",62
"1702",25
"1703",21
"1704",20
"1705",27
"1706",33
"1707",39
"1708",56
"1709",52
"1710",49
"1711",28
"1712",28
"1713",63
"1714",47
"1715",69
"1716",25
"1717",30
"1718",22
"1719",42
"1720",40
"1721",32
"1722",24
"1723",52
"1724",43
"1725",20
"1726",27
"1727",40
"1728",60
"1729",51
"1730",68
"1731",59
"1732",29
"1733",34
"1734",27
"1735",46
"1736",47
"1737",31
"1738",57
"1739",28
"1740",27
"1741",34
"1742",35
"1743",27
"1744",70
"1745",53
"1746",41
"1747",24
"1748",55
"1749",39
"1750",21
"1751",51
"1752",62
"1753",26
"1754",21
"1755",43
"1756",62
"1757",54
"1758",75
"1759",50
"1760",56
"1761",48
"1762",20
"1763",44
"1764",43
"1765",43
"1766",24
"1767",30
"1768",42
"1769",45
"1770",77
"1771",19
"1772",23
"1773",32
"1774",35
"1775",41
"1776",39
"1777",31
"1778",32
"1779",41
"1780",83
"1781",65
"1782",46
"1783",22
"1784",52
"1785",47
"1786",30
"1787",54
"1788",22
"1789",66
"1790",21
"1791",36
"1792",28
"1793",22
"1794",59
"1795",22
"1796",31
"1797",23
"1798",59
"1799",58
"1800",38
"1801",26
"1802",46
"1803",35
"1804",30
"1805",63
"1806",26
"1807",62
"1808",74
"1809",31
"1810",70
"1811",65
"1812",43
"1813",74
"1814",57
"1815",60
"1816",52
"1817",24
"1818",41
"1819",29
"1820",74
"1821",64
"1822",35
"1823",36
"1824",34
"1825",55
"1826",34
"1827",57
"1828",24
"1829",60
"1830",61
"1831",26
"1832",74
"1833",56
"1834",22
"1835",47
"1836",66
"1837",64
"1838",27
"1839",32
"1840",50
"1841",68
"1842",47
"1843",26
"1844",34
"1845",39
"1846",30
"1847",65
"1848",74
"1849",59
"1850",67
"1851",26
"1852",71
"1853",20
"1854",23
"1855",33
"1856",24
"1857",41
"1858",69
"1859",43
"1860",62
"1861",54
"1862",43
"1863",21
"1864",23
"1865",28
"1866",52
"1867",20
"1868",61
"1869",60
"1870",32
"1871",74
"1872",53
"1873",37
"1874",23
"1875",60
"1876",53
"1877",28
"1878",21
"1879",48
"1880",41
"1881",57
"1882",19
"1883",41
"1884",47
"1885",20
"1886",22
"1887",46
"1888",63
"1889",43
"1890",27
"1891",28
"1892",68
"1893",22
"1894",72
"1895",30
"1896",28
"1897",48
"1898",36
"1899",36
"1900",56
"1901",25
"1902",46
"1903",26
"1904",38
"1905",58
"1906",31
"1907",36
"1908",50
"1909",68
"1910",49
"1911",28
"1912",20
"1913",63
"1914",21
"1915",39
"1916",63
"1917",23
"1918",36
"1919",32
"1920",53
"1922",23
"1923",79
"1924",41
"1925",28
"1926",58
"1927",44
"1928",25
"1929",23
"1930",44
"1931",63
"1932",42
"1933",63
"1934",55
"1935",26
"1936",22
"1937",29
"1938",82
"1939",24
"1940",24
"1941",62
"1942",58
"1943",66
"1944",51
"1945",79
"1946",71
"1947",49
"1948",55
"1949",67
"1950",23
"1951",44
"1952",31
"1953",52
"1954",54
"1955",58
"1956",77
"1957",33
"1958",33
"1959",47
"1960",49
"1961",44
"1962",29
"1963",22
"1964",31
"1965",67
"1966",67
"1967",34
"1968",74
"1969",36
"1970",22
"1971",74
"1972",48
"1973",54
"1974",22
"1975",53
"1976",20
"1977",31
"1978",41
"1979",40
"1980",40
"1981",25
"1982",66
"1983",65
"1984",68
"1985",19
"1986",45
"1987",20
"1988",27
"1989",70
"1990",49
"1991",21
"1992",40
"1993",26
"1994",60
"1995",45
"1996",49
"1997",34
"1998",52
"1999",39
"2000",51
"2001",54
"2002",30
"2003",24
"2004",75
"2005",19
"2006",56
"2007",57
"2008",69
"2009",52
"2010",24
"2011",38
"2012",51
"2013",73
"2014",67
"2015",25
"2016",45
"2017",29
"2018",32
"2019",37
"2020",48
"2021",41
"2022",46
"2023",72
"2024",57
"2025",24
"2026",21
"2027",27
"2028",29
"2029",69
"2030",69
"2031",51
"2032",54
"2033",38
"2034",79
"2035",58
"2036",66
"2037",66
"2038",42
"2039",72
"2040",64
"2041",26
"2042",24
"2043",64
"2044",19
"2045",46
